epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_f1,val_f1,val_auc
1,0.5045627951622009,0.49980127811431885,0.8803418803418803,0.8461538461538461,0.9102564102564102,0.8888888888888888,0.9583333333333334
2,0.3988381624221802,0.4053816795349121,0.8547008547008547,0.8461538461538461,0.8888888888888888,0.8888888888888888,0.9500000000000001
3,0.35033661127090454,0.37322649359703064,0.8547008547008547,0.8461538461538461,0.8888888888888888,0.8888888888888888,0.9500000000000001
4,0.3286866545677185,0.36970284581184387,0.8547008547008547,0.8461538461538461,0.8888888888888888,0.8888888888888888,0.9500000000000001
5,0.31888118386268616,0.3788030445575714,0.8547008547008547,0.8461538461538461,0.8888888888888888,0.8888888888888888,0.9500000000000001
6,0.3070128858089447,0.38150566816329956,0.8547008547008547,0.8461538461538461,0.8888888888888888,0.8888888888888888,0.9500000000000001
7,0.29182004928588867,0.3761748671531677,0.8888888888888888,0.8461538461538461,0.9171974522292994,0.8888888888888888,0.9500000000000001
8,0.2820693850517273,0.3759700655937195,0.8974358974358975,0.8461538461538461,0.9240506329113924,0.8888888888888888,0.9500000000000001
9,0.2647455930709839,0.36700135469436646,0.905982905982906,0.8461538461538461,0.9308176100628931,0.8888888888888888,0.9500000000000001
10,0.25268682837486267,0.36022472381591797,0.905982905982906,0.8461538461538461,0.9316770186335404,0.8888888888888888,0.9500000000000001
11,0.2426636815071106,0.3571188151836395,0.905982905982906,0.8076923076923077,0.9316770186335404,0.8648648648648649,0.9416666666666668
12,0.22868691384792328,0.3478763699531555,0.905982905982906,0.8076923076923077,0.9316770186335404,0.8648648648648649,0.9416666666666668
13,0.2193107008934021,0.3407314717769623,0.905982905982906,0.8076923076923077,0.9316770186335404,0.8648648648648649,0.9416666666666668
14,0.21646028757095337,0.3416300415992737,0.905982905982906,0.8076923076923077,0.9316770186335404,0.8648648648648649,0.9416666666666668
15,0.21326804161071777,0.33998143672943115,0.905982905982906,0.8076923076923077,0.9316770186335404,0.8648648648648649,0.9416666666666668
16,0.21620501577854156,0.3461049795150757,0.905982905982906,0.8076923076923077,0.9316770186335404,0.8648648648648649,0.9416666666666668
17,0.21009133756160736,0.33458203077316284,0.905982905982906,0.8076923076923077,0.9316770186335404,0.8648648648648649,0.9500000000000001
18,0.2040122151374817,0.3243424594402313,0.905982905982906,0.8076923076923077,0.9316770186335404,0.8648648648648649,0.9500000000000001
19,0.18850111961364746,0.297932505607605,0.8974358974358975,0.8461538461538461,0.926829268292683,0.8947368421052632,0.9500000000000001
20,0.18025901913642883,0.28825169801712036,0.8974358974358975,0.8461538461538461,0.926829268292683,0.8947368421052632,0.9500000000000001
21,0.17612923681735992,0.28062665462493896,0.905982905982906,0.8461538461538461,0.9325153374233128,0.8947368421052632,0.9500000000000001
22,0.17415955662727356,0.27257829904556274,0.905982905982906,0.8461538461538461,0.9325153374233128,0.8947368421052632,0.9500000000000001
23,0.17626126110553741,0.2726900279521942,0.905982905982906,0.8461538461538461,0.9325153374233128,0.8947368421052632,0.9500000000000001
24,0.17822402715682983,0.2746076285839081,0.905982905982906,0.8461538461538461,0.9325153374233128,0.8947368421052632,0.9500000000000001
25,0.17753279209136963,0.27398502826690674,0.905982905982906,0.8461538461538461,0.9325153374233128,0.8947368421052632,0.9500000000000001
26,0.17898570001125336,0.280649870634079,0.9145299145299145,0.8461538461538461,0.9382716049382716,0.8947368421052632,0.9500000000000001
27,0.17810404300689697,0.279557466506958,0.905982905982906,0.8461538461538461,0.9316770186335404,0.8947368421052632,0.9500000000000001
28,0.18083485960960388,0.2855568528175354,0.905982905982906,0.8076923076923077,0.9316770186335404,0.8648648648648649,0.9500000000000001
29,0.18587695062160492,0.2970770597457886,0.905982905982906,0.8076923076923077,0.9316770186335404,0.8648648648648649,0.9500000000000001
